post_at_local,post_date,post_time,account,language,file_path,filename,category,theme,part,parts,palette,caption,alt_text,hashtags
2026-08-17 01:00,2026-08-17,01:00,speaksilq_farsi,Farsi,02_farsi/farsi_29-common-verbs_p7of10_learn.png,farsi_29-common-verbs_p7of10_learn.png,Common Verbs,learn,7,10,blush,"English vs Farsi — Common Verbs (part 7 of 10)
to exit = khârej shodan · to live = zendegi kardan · to die = mordan
Learn Farsi and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Farsi"", subtitle ""Common Verbs"", listing 11 English words with their Farsi romanisations.",#SpeakSilq #LearnFarsi #Farsi #LanguageLearning #Vocabulary #CommonVerbs
2026-08-17 13:00,2026-08-17,13:00,speaksilq_farsi,Farsi,02_farsi/farsi_14-food-drink_p8of8_food.png,farsi_14-food-drink_p8of8_food.png,Food & Drink,food,8,8,lemon-ice,"English vs Farsi — Food & Drink (part 8 of 8)
Waiter = gârson · Delicious = khoshmaze · Spicy = tond
Learn Farsi and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Farsi"", subtitle ""Food & Drink"", listing 10 English words with their Farsi romanisations.",#SpeakSilq #LearnFarsi #Farsi #LanguageLearning #Vocabulary #FoodDrink
2026-08-18 01:00,2026-08-18,01:00,speaksilq_farsi,Farsi,02_farsi/farsi_02-everyday-phrases_p1of7_social.png,farsi_02-everyday-phrases_p1of7_social.png,Everyday Phrases,social,1,7,sky,"English vs Farsi — Everyday Phrases (part 1 of 7)
What is your name? = esm-e shomâ chist? · My name is ... = esm-e man ... ast · Where are you from? = ahl-e kojâ hastid?
Learn Farsi and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Farsi"", subtitle ""Everyday Phrases"", listing 12 English words with their Farsi romanisations.",#SpeakSilq #LearnFarsi #Farsi #LanguageLearning #Vocabulary #EverydayPhrases
2026-08-18 13:00,2026-08-18,13:00,speaksilq_farsi,Farsi,02_farsi/farsi_18-home-household_p3of5_home.png,farsi_18-home-household_p3of5_home.png,Home & Household,home,3,5,rose-quartz,"English vs Farsi — Home & Household (part 3 of 5)
Table = miz · Chair = sandali · Sofa = mobl
Learn Farsi and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Farsi"", subtitle ""Home & Household"", listing 10 English words with their Farsi romanisations.",#SpeakSilq #LearnFarsi #Farsi #LanguageLearning #Vocabulary #HomeHousehold
2026-08-19 01:00,2026-08-19,01:00,speaksilq_farsi,Farsi,02_farsi/farsi_31-work-professions_p4of4_learn.png,farsi_31-work-professions_p4of4_learn.png,Work & Professions,learn,4,4,pistachio,"English vs Farsi — Work & Professions (part 4 of 4)
Musician = navâzande · Singer = khânande · Actor = bâzigar
Learn Farsi and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Farsi"", subtitle ""Work & Professions"", listing 11 English words with their Farsi romanisations.",#SpeakSilq #LearnFarsi #Farsi #LanguageLearning #Vocabulary #WorkProfessions
2026-08-19 13:00,2026-08-19,13:00,speaksilq_farsi,Farsi,02_farsi/farsi_26-nature-weather_p1of5_world.png,farsi_26-nature-weather_p1of5_world.png,Nature & Weather,world,1,5,powder-blue,"English vs Farsi — Nature & Weather (part 1 of 5)
Nature = tabi'at · Sky = âsemân · Sun = khorshid
Learn Farsi and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Farsi"", subtitle ""Nature & Weather"", listing 11 English words with their Farsi romanisations.",#SpeakSilq #LearnFarsi #Farsi #LanguageLearning #Vocabulary #NatureWeather
2026-08-20 01:00,2026-08-20,01:00,speaksilq_farsi,Farsi,02_farsi/farsi_04-people-pronouns_p1of3_social.png,farsi_04-people-pronouns_p1of3_social.png,Pronouns & Demonstratives,social,1,3,coral-mist,"English vs Farsi — Pronouns & Demonstratives (part 1 of 3)
I = man · You (singular) = to · He / She = u
Learn Farsi and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Farsi"", subtitle ""Pronouns & Demonstratives"", listing 10 English words with their Farsi romanisations.",#SpeakSilq #LearnFarsi #Farsi #LanguageLearning #Vocabulary #PeoplePronouns
2026-08-20 13:00,2026-08-20,13:00,speaksilq_farsi,Farsi,02_farsi/farsi_24-city-places_p4of4_travel.png,farsi_24-city-places_p4of4_travel.png,City & Places,travel,4,4,honeydew,"English vs Farsi — City & Places (part 4 of 4)
Farm = mazra'e · Building = sâkhtemân · Tower = borj
Learn Farsi and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Farsi"", subtitle ""City & Places"", listing 11 English words with their Farsi romanisations.",#SpeakSilq #LearnFarsi #Farsi #LanguageLearning #Vocabulary #CityPlaces
2026-08-21 01:00,2026-08-21,01:00,speaksilq_farsi,Farsi,02_farsi/farsi_30-adjectives-opposites_p3of8_learn.png,farsi_30-adjectives-opposites_p3of8_learn.png,Adjectives & Descriptions,learn,3,8,periwinkle,"English vs Farsi — Adjectives & Descriptions (part 3 of 8)
Slow = kond · Strong = qavi · Weak = za'if
Learn Farsi and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Farsi"", subtitle ""Adjectives & Descriptions"", listing 12 English words with their Farsi romanisations.",#SpeakSilq #LearnFarsi #Farsi #LanguageLearning #Vocabulary #AdjectivesOpposites
2026-08-21 13:00,2026-08-21,13:00,speaksilq_farsi,Farsi,02_farsi/farsi_11-emotions-feelings_p3of4_people.png,farsi_11-emotions-feelings_p3of4_people.png,Emotions & Feelings,people,3,4,peach,"English vs Farsi — Emotions & Feelings (part 3 of 4)
Joy = shâdi · Sorrow = gham · Laughter = khande
Learn Farsi and 20+ more at Speaksilq.com","Pastel vocabulary card titled ""English vs Farsi"", subtitle ""Emotions & Feelings"", listing 11 English words with their Farsi romanisations.",#SpeakSilq #LearnFarsi #Farsi #LanguageLearning #Vocabulary #EmotionsFeelings
